,id,company_rating,company_location,total_fleet_count,iata_approved
351,13207,100%,,1.0,f
353,29938,,Turkmenistan,1.0,t
354,44666,100%,Uzbekistan,1.0,t
356,36756,,Indonesia,2.0,t
357,18919,,Russian Federation,1.0,t
361,43992,100%,Uzbekistan,3.0,t
363,15866,100%,Papua New Guinea,2.0,f
364,32784,,Cocos (Keeling) Islands,1.0,t
373,13074,100%,Turks and Caicos Islands,1.0,t
374,49786,,Tonga,1.0,f
379,42104,50%,Djibouti,2.0,f
380,18212,,,1.0,f
382,7043,,Malta,1.0,t
383,20744,,Niger,2.0,f
384,8897,,,1.0,t
388,45524,,,1.0,f
393,29950,,France,1.0,t
394,13550,,Micronesia,1.0,f
395,29070,100%,Micronesia,1.0,f
398,29866,100%,Isle of Man,2.0,f
399,10233,,Barbados,2.0,f
400,8878,,Nauru,2.0,f
402,44613,100%,,1.0,t
406,6674,,Tonga,2.0,t
409,21008,100%,Bouvet Island (Bouvetoya),1.0,f
412,517,100%,United Kingdom,1.0,f
415,25431,100%,Sao Tome and Principe,1.0,t
422,29382,100%,Ghana,4.0,f
423,4964,100%,Malawi,1.0,t
430,48184,,Tanzania,1.0,t
438,590,,Guinea,2.0,t
441,11781,100%,Guinea,2.0,t
442,38634,100%,Malta,1.0,t
444,13547,,,1.0,t
445,10079,100%,Rwanda,1.0,f
446,28224,100%,Rwanda,1.0,f
448,36681,100%,Tunisia,1.0,t
449,28131,100%,,1.0,t
451,1247,,Chile,1.0,t
452,41022,100%,Cape Verde,3.0,t
457,12701,100%,Monaco,1.0,f
466,19278,,,1.0,f
469,36914,100%,Nauru,1.0,t
471,23857,100%,Isle of Man,1.0,f
475,32801,63%,Somalia,1.0,f
477,17138,100%,Isle of Man,1.0,t
478,11110,88%,Kiribati,3.0,t
484,24243,,,2.0,t
485,24380,,Zimbabwe,2.0,f
487,18326,100%,Monaco,1.0,f
488,39510,,Guinea,1.0,f
489,19681,,,2.0,t
490,12910,,Maldives,1.0,t
492,26159,100%,Turkmenistan,1.0,t
495,44146,36%,Malawi,2.0,t
498,12465,,Marshall Islands,1.0,f
499,6198,20%,,1.0,f
500,16581,,Guinea,1.0,t
501,16697,,Sao Tome and Principe,1.0,f
502,22132,,Kenya,1.0,f
507,26079,100%,Zimbabwe,1.0,f
508,3279,,Uzbekistan,1.0,t
514,25183,,Malta,1.0,t
515,4953,,Saint Helena,1.0,f
516,27090,100%,Tonga,2.0,t
520,16519,,Cocos (Keeling) Islands,1.0,f
526,42454,100%,Finland,1.0,f
528,27227,100%,Isle of Man,2.0,t
529,7237,100%,Guinea,1.0,t
530,13082,100%,Kiribati,3.0,t
531,27007,0%,,1.0,t
532,37454,100%,,2.0,f
534,9586,100%,Guinea,2.0,t
535,2480,100%,,1.0,f
538,7321,,Papua New Guinea,1.0,f
539,43891,,China,2.0,t
540,32587,,Jersey,1.0,f
547,25013,,Tonga,1.0,t
548,12899,50%,,1.0,t
550,4094,,Russian Federation,4.0,t
552,8755,,Malawi,1.0,f
553,33025,,Tonga,1.0,f
554,27289,99%,Reunion,12.0,t
557,45197,,Christmas Island,1.0,f
560,18509,,Gambia,1.0,f
563,8850,,,1.0,t
564,1133,,,1.0,t
567,45597,,,1.0,t
569,32691,100%,Nicaragua,1.0,f
574,44354,100%,Russian Federation,1.0,t
580,27811,100%,Ukraine,4.0,t
586,14985,,,2.0,t
588,16258,100%,,1.0,t
589,45680,,Russian Federation,1.0,t
594,24351,,Marshall Islands,1.0,t
595,29316,,Faroe Islands,1.0,t
596,1373,,Brazil,1.0,f
600,13474,80%,Zimbabwe,7.0,t
601,21341,80%,Tonga,1.0,f
605,4630,100%,,2.0,f
610,1298,100%,,1.0,t
611,14741,,,1.0,t
613,43369,,Faroe Islands,1.0,t
616,841,,Mauritania,1.0,f
617,29525,,,1.0,f
618,42156,,French Guiana,1.0,t
621,3189,100%,Marshall Islands,2.0,t
622,47361,100%,Barbados,10.0,f
623,13272,,Croatia,1.0,t
625,33930,,El Salvador,1.0,t
628,19813,,Jersey,1.0,f
629,18791,100%,Zimbabwe,8.0,t
632,23610,,Uzbekistan,1.0,t
635,4010,100%,,1.0,t
637,14052,,Sao Tome and Principe,1.0,f
639,40143,,Russian Federation,1.0,t
640,40862,,Guinea,1.0,f
642,41507,100%,Sao Tome and Principe,1.0,t
644,15306,,Barbados,8.0,t
646,21736,100%,Vanuatu,4.0,f
647,19955,,Rwanda,1.0,t
648,33190,0%,Anguilla,1.0,t
651,29216,,,1.0,f
653,515,100%,Mauritania,1.0,f
655,38533,,Chile,1.0,t
660,16655,80%,,1.0,f
662,24582,,Netherlands,2.0,t
663,23344,100%,Grenada,1.0,f
666,30866,,,1.0,f
667,16441,,Ghana,1.0,t
668,19806,60%,Papua New Guinea,1.0,f
670,44421,,Monaco,1.0,f
681,44820,,,1.0,f
683,29526,,Sao Tome and Principe,1.0,t
685,37066,100%,Micronesia,1.0,t
686,37117,100%,Slovakia (Slovak Republic),2.0,t
689,39561,100%,,2.0,t
691,23914,,Micronesia,1.0,f
692,38377,,Lebanon,1.0,f
694,23170,100%,Sao Tome and Principe,2.0,t
697,42996,,Jersey,1.0,f
698,28920,,Malta,1.0,t
705,30740,,Gambia,2.0,t
706,10475,,Mauritania,1.0,t
711,3290,,Solomon Islands,1.0,f
712,29972,,United Kingdom,1.0,f
714,37356,,Guinea,3.0,f
718,29323,100%,Guinea,3.0,f
719,39609,,United Kingdom,1.0,f
720,8525,,Sao Tome and Principe,2.0,f
726,7437,,Niue,1.0,t
727,33669,100%,Malta,2.0,t
728,31773,100%,,1.0,t
731,19309,100%,Maldives,3.0,t
732,4868,100%,Jersey,2.0,t
739,814,,,1.0,f
741,49650,,Isle of Man,1.0,t
746,17499,33%,Somalia,1.0,t
754,44861,,Puerto Rico,1.0,f
758,6780,,Zimbabwe,2.0,t
759,41999,,Mexico,1.0,f
765,45569,,,1.0,t
766,28743,100%,Somalia,1.0,t
770,14825,,Uzbekistan,1.0,f
775,28803,100%,Cocos (Keeling) Islands,1.0,f
776,38357,0%,,1.0,t
781,43770,,Rwanda,1.0,t
783,27460,50%,Denmark,2.0,f
784,6053,,Sao Tome and Principe,1.0,t
790,20335,100%,,2.0,f
791,42498,,Malawi,1.0,t
792,2643,,Anguilla,1.0,t
794,16438,,,1.0,t
797,9297,,Tanzania,1.0,t
798,4283,,Nicaragua,1.0,t
799,31372,100%,Russian Federation,1.0,t
801,23252,,,1.0,f
803,32849,,,1.0,t
809,5703,,,1.0,f
815,21669,,Bosnia and Herzegovina,1.0,f
816,36760,,Isle of Man,1.0,t
818,10317,,Venezuela,1.0,f
819,27092,,Brazil,2.0,f
820,30160,,Niue,1.0,f
825,36196,90%,Gibraltar,1.0,f
830,41661,,Vietnam,1.0,t
831,48321,100%,China,17.0,f
832,25766,75%,Chile,1.0,t
837,21045,100%,French Guiana,2.0,f
839,1330,100%,United Kingdom,1.0,t
840,8294,0%,Zimbabwe,1.0,f
848,22030,100%,French Guiana,3.0,t
849,16069,100%,Micronesia,1.0,f
850,44152,,Malta,1.0,f
851,12963,,,1.0,f
853,46010,100%,,1.0,f
855,326,100%,Gambia,1.0,t
856,6986,,Micronesia,1.0,t
857,42930,,French Guiana,1.0,f
858,17316,100%,Niue,1.0,t
864,30927,100%,Indonesia,1.0,f
867,43146,100%,,1.0,f
869,37529,,Tonga,1.0,f
873,22460,,China,1.0,t
874,27232,,Faroe Islands,1.0,t
875,27766,75%,,1.0,t
876,4294,100%,,1.0,t
880,8653,,Tonga,1.0,t
881,35312,100%,,1.0,f
882,36659,100%,Anguilla,2.0,t
885,14700,100%,Montserrat,3.0,f
886,25367,,Sao Tome and Principe,1.0,t
887,16274,,Niger,1.0,t
893,29678,100%,Nicaragua,1.0,f
897,34272,,Papua New Guinea,1.0,t
902,43429,,Turks and Caicos Islands,2.0,f
904,34685,,Chad,1.0,t
907,14083,100%,,2.0,t
911,14406,100%,,1.0,f
912,3927,100%,Niue,1.0,t
915,20664,100%,Nauru,4.0,f
917,32090,100%,,1.0,t
918,43733,,Chile,1.0,f
919,32697,,Lithuania,1.0,t
924,25180,100%,,1.0,t
925,49998,100%,Croatia,1.0,t
928,33973,,,1.0,f
931,44627,100%,Cocos (Keeling) Islands,1.0,f
932,9430,,Sao Tome and Principe,1.0,t
934,28568,100%,Faroe Islands,3.0,f
935,7988,100%,Mauritania,1.0,f
937,9245,,El Salvador,2.0,t
941,9288,,,1.0,f
942,38734,100%,,1.0,t
946,12801,,,1.0,t
950,22522,100%,France,3.0,t
955,35762,86%,Russian Federation,1.0,f
956,48029,100%,Malta,2.0,f
958,26043,,Niue,1.0,t
959,38536,,Togo,1.0,f
963,29551,100%,Mauritania,2.0,f
964,44802,67%,Bouvet Island (Bouvetoya),1.0,f
965,16165,,France,3.0,f
968,33791,100%,Guinea,2.0,t
970,43706,,,1.0,f
972,17380,50%,Jersey,1.0,t
974,42686,,,1.0,t
978,9304,,,,
982,29162,,Rwanda,2.0,f
984,35638,,Anguilla,1.0,t
987,34931,100%,Gibraltar,2.0,t
988,43111,,Tonga,1.0,f
989,4763,,Uruguay,2.0,f
992,40314,100%,Gambia,1.0,f
993,29943,,Rwanda,1.0,t
994,47734,100%,Ecuador,1.0,t
998,8880,0%,Kiribati,1.0,f
1002,35809,,,1.0,f
1003,28633,60%,Russian Federation,1.0,t
1005,3527,,Turks and Caicos Islands,1.0,f
1008,28398,100%,El Salvador,7.0,t
1011,24481,,,1.0,f
1013,5567,100%,Bosnia and Herzegovina,2.0,t
1016,10763,100%,,1.0,t
1019,38415,,Uzbekistan,1.0,t
1020,27386,,Chad,2.0,f
1022,24678,,Faroe Islands,2.0,f
1024,15618,,Mauritania,1.0,f
1025,33721,100%,,1.0,t
1026,7498,,Zimbabwe,2.0,t
1028,35793,,Marshall Islands,1.0,t
1030,19303,100%,,1.0,f
1033,43955,,Tonga,1.0,t
1037,29475,50%,Niue,1.0,t
1041,35444,100%,Anguilla,1.0,f
1043,2620,,Pakistan,1.0,t
1045,42567,100%,Palestinian Territory,1.0,f
1048,6290,,Barbados,1.0,f
1049,46884,100%,Turks and Caicos Islands,2.0,f
1050,12907,100%,Marshall Islands,1.0,f
1052,9759,100%,Isle of Man,1.0,t
1056,29339,,Tunisia,1.0,f
1057,22335,100%,Russian Federation,3.0,t
1058,36923,,Kenya,1.0,f
1064,3160,90%,Russian Federation,2.0,f
1068,50024,,Micronesia,1.0,f
1070,18289,,Guinea,1.0,f
1074,40415,,Monaco,1.0,f
1078,32271,100%,,1.0,f
1081,33338,,Gibraltar,1.0,t
1082,1526,100%,France,1.0,t
1083,17597,33%,Wallis and Futuna,1.0,t
1084,2490,,Niue,1.0,t
1086,5797,,Gambia,2.0,f
1088,9075,,,1.0,f
1090,14857,,Jersey,1.0,f
1095,43430,100%,Kenya,1.0,f
1096,4329,,Niue,1.0,f
1098,21485,,Cape Verde,1.0,t
1100,44228,,Jersey,1.0,f
1101,43293,,Denmark,2.0,f
1103,3061,,Libyan Arab Jamahiriya,2.0,t
1104,39782,,Denmark,1.0,t
1105,8579,100%,Lithuania,2.0,f
1106,143,,Bouvet Island (Bouvetoya),1.0,t
1110,4946,,Chad,1.0,t
1111,1765,,Rwanda,1.0,t
1116,23013,90%,Isle of Man,1.0,f
1118,27547,,,1.0,t
1122,21618,,,1.0,f
1123,15566,,,1.0,f
1127,18126,,Guinea,1.0,f
1129,15756,94%,Afghanistan,2.0,t
1132,28384,,,1.0,t
1133,26368,100%,Brazil,2.0,f
1134,18123,100%,Russian Federation,3.0,f
1135,22646,100%,Anguilla,1.0,t
1137,8650,100%,,1.0,t
1139,22750,,Barbados,4.0,t
1140,9025,88%,Micronesia,1.0,t
1142,20550,,Tanzania,1.0,f
1145,2318,70%,,1.0,t
1152,36871,,Chile,1.0,t
1153,1254,100%,,1.0,t
1157,37506,,Uzbekistan,1.0,f
1158,33860,100%,Niger,1.0,f
1159,12086,,Chad,1.0,t
1163,12433,50%,Lebanon,1.0,t
1166,41458,,Wallis and Futuna,1.0,t
1167,10856,40%,,1.0,f
1168,35009,,,1.0,t
1170,9524,,,1.0,f
1171,46346,,Niue,1.0,t
1178,39662,,Isle of Man,1.0,t
1179,14120,100%,Jersey,1.0,f
1180,36651,,Guinea,1.0,f
1182,21658,,French Guiana,1.0,f
1183,4445,,Micronesia,1.0,f
1185,38836,100%,Lebanon,3.0,f
1186,17801,80%,Mauritania,2.0,t
1187,43361,100%,Maldives,1.0,f
1191,9342,,Nicaragua,1.0,f
1192,49626,,Tanzania,2.0,t
1194,35176,100%,Chile,3.0,t
1197,10982,100%,,1.0,f
1198,27563,90%,,1.0,t
1201,11997,100%,Mauritania,2.0,t
1202,23246,,,1.0,f
1206,11009,,Niue,1.0,f
1208,16015,,,1.0,t
1209,26723,,,1.0,t
1210,35118,,Bouvet Island (Bouvetoya),1.0,t
1213,4809,,Anguilla,1.0,f
1217,9056,,Marshall Islands,1.0,t
1220,11275,100%,Brazil,3.0,t
1222,20382,100%,Svalbard & Jan Mayen Islands,4.0,t
1230,25030,75%,Micronesia,1.0,t
1231,4096,,Tunisia,1.0,f
1239,38729,100%,Maldives,1.0,t
1244,12471,67%,Gibraltar,1.0,t
1245,28199,,Gibraltar,1.0,t
1247,26053,,Grenada,1.0,t
1249,8777,67%,,1.0,f
1251,44429,,,1.0,t
1254,27345,100%,Guinea,1.0,f
1256,49221,,,2.0,f
1259,36726,94%,Mexico,6.0,f
1260,20432,100%,,1.0,t
1262,20021,,Gambia,1.0,f
1263,23680,,,1.0,t
1264,13016,100%,Russian Federation,2.0,t
1265,28004,100%,,1.0,t
1266,37280,100%,Indonesia,4.0,t
1271,15433,40%,United Kingdom,1.0,f
1273,31916,,Malta,2.0,t
1276,49592,,Marshall Islands,1.0,f
1279,35172,100%,Barbados,1.0,t
1280,15105,,,1.0,f
1283,9123,,Brazil,1.0,f
1284,18856,50%,El Salvador,1.0,t
1290,11434,100%,,1.0,t
1291,23739,,Uzbekistan,1.0,f
1293,1604,100%,Tunisia,1.0,t
1294,41880,,China,2.0,f
1295,11201,,Faroe Islands,1.0,t
1297,16012,0%,,1.0,t
1299,14237,,France,1.0,t
1301,18387,,Tonga,1.0,f
1303,45900,,Monaco,1.0,f
1304,29553,100%,,1.0,t
1308,29587,,Cook Islands,1.0,f
1310,23325,100%,Russian Federation,2.0,t
1311,18184,,,1.0,f
1315,23258,,,1.0,f
1317,13444,,,1.0,f
1318,6113,100%,Guinea,2.0,t
1319,30067,,Niue,1.0,t
1326,24221,100%,Guinea,1.0,t
1328,37755,,Ukraine,1.0,t
1329,27435,100%,Rwanda,1.0,t
1331,39551,,Nicaragua,1.0,t
1333,41590,,Cocos (Keeling) Islands,1.0,f
1337,49159,,Montserrat,1.0,f
1339,165,,,1.0,f
1344,37864,,Suriname,1.0,f
1345,2309,,Bouvet Island (Bouvetoya),2.0,t
1349,15356,80%,Denmark,2.0,f
1353,13849,100%,Niue,2.0,t
1354,39178,,,1.0,f
1359,41931,75%,,1.0,t
1362,37159,,United Kingdom,1.0,f
1363,9861,100%,Guernsey,2.0,f
1372,19776,100%,Marshall Islands,2.0,t
1376,5242,,Malta,1.0,f
1378,16167,,,1.0,t
1381,28656,,,1.0,f
1382,41877,,Cuba,1.0,t
1383,45546,100%,Cape Verde,19.0,t
1386,28037,,China,1.0,f
1392,28644,,Anguilla,1.0,f
1393,23791,,,1.0,t
1394,2285,100%,,1.0,f
1395,12787,,Estonia,1.0,t
1398,30057,,Lebanon,1.0,t
1405,12652,,Marshall Islands,2.0,f
1407,27872,,Denmark,3.0,t
1413,47525,100%,,2.0,t
1414,22892,100%,,1.0,t
1416,23541,89%,Rwanda,1.0,f
1418,2934,,Sao Tome and Principe,1.0,t
1419,40328,,Netherlands,1.0,f
1427,43094,,Monaco,1.0,f
1428,48725,,Rwanda,1.0,t
1429,28931,,Canada,1.0,t
1431,39267,,Bouvet Island (Bouvetoya),1.0,f
1432,40626,93%,United Kingdom,5.0,t
1433,33279,100%,,1.0,f
1438,610,,,1.0,f
1439,907,100%,,1.0,f
1445,22839,,Nauru,1.0,f
1446,40644,,Bosnia and Herzegovina,1.0,t
1453,18359,,Isle of Man,1.0,t
1460,10866,100%,,1.0,t
1461,21280,,,1.0,t
1462,16260,100%,United Kingdom,4.0,t
1465,15048,,French Guiana,1.0,t
1467,46075,,Gambia,1.0,t
1471,25243,,,1.0,f
1472,46463,,Cocos (Keeling) Islands,1.0,f
1473,13589,100%,China,1.0,f
1475,41567,100%,Chile,1.0,t
1477,45860,100%,Niue,1.0,t
1478,45391,,,1.0,f
1480,41326,,,2.0,t
1481,31283,,Guinea,1.0,t
1484,19721,100%,Tonga,3.0,t
1485,30892,100%,Lebanon,1.0,f
1486,7743,100%,,1.0,f
1487,37923,,Andorra,1.0,f
1491,42654,100%,,1.0,t
1492,17513,,Faroe Islands,1.0,t
1496,27747,,Malta,1.0,f
1502,17139,,Tanzania,1.0,t
1505,17868,100%,Niue,2.0,f
1508,26063,,Croatia,2.0,t
1516,49042,,Uzbekistan,1.0,t
1517,21018,,,1.0,t
1518,46134,100%,,1.0,t
1519,8189,100%,Chile,2.0,t
1523,4705,,China,2.0,t
1524,33571,,,1.0,t
1526,5732,,Ghana,2.0,t
1532,14885,100%,Tanzania,3.0,f
1533,16836,,French Guiana,1.0,t
1536,10204,100%,Nicaragua,5.0,t
1537,26052,90%,Gambia,3.0,t
1538,16527,100%,Palestinian Territory,2.0,f
1542,11348,,China,2.0,f
1543,43622,,Maldives,1.0,f
1545,11321,,,1.0,f
1548,29246,50%,Malawi,1.0,t
1549,6481,,Guinea,2.0,f
1550,25801,,Lebanon,1.0,t
1555,20847,100%,Bouvet Island (Bouvetoya),2.0,t
1561,8699,100%,Niue,1.0,t
1562,8810,,,1.0,t
1563,7052,,Bouvet Island (Bouvetoya),1.0,f
1567,20122,,Philippines,1.0,t
1572,43040,,,8.0,t
1577,5680,0%,,1.0,f
1578,37174,,Kenya,1.0,f
1582,32603,83%,Nicaragua,4.0,t
1583,42159,,,1.0,f
1589,36860,,Russian Federation,2.0,f
1595,29083,0%,Chile,1.0,t
1597,22468,,,1.0,f
1602,30173,,,1.0,t
1603,47371,,Guinea,1.0,f
1606,31314,100%,Guinea,4.0,t
1607,12450,,Malawi,1.0,t
1612,11021,,Slovakia (Slovak Republic),1.0,t
1615,20939,,Niue,1.0,t
1620,44294,,,1.0,t
1622,43966,,,1.0,f
1630,37631,,Russian Federation,1.0,t
1633,40059,83%,Svalbard & Jan Mayen Islands,1.0,t
1634,13049,100%,,1.0,t
1635,17431,,Kenya,1.0,f
1639,10539,,Lebanon,1.0,f
1643,32875,0%,Kenya,1.0,t
1644,20229,100%,Papua New Guinea,1.0,f
1646,29324,86%,Russian Federation,2.0,f
1650,17703,100%,Marshall Islands,1.0,f
1651,24279,,Sao Tome and Principe,1.0,t
1654,15598,,,1.0,t
1655,43668,100%,Marshall Islands,6.0,t
1656,889,,Russian Federation,1.0,f
1657,3515,,Cook Islands,1.0,f
1659,4274,100%,Guernsey,2.0,t
1661,10433,,Rwanda,1.0,f
1663,44737,,El Salvador,2.0,f
1665,12783,,Micronesia,1.0,f
1666,28742,,,1.0,f
1667,3932,100%,Uzbekistan,2.0,f
1668,23583,,Ghana,1.0,t
1670,43006,,,1.0,f
1671,33514,100%,Marshall Islands,2.0,t
1676,16526,,Niue,2.0,t
1679,41988,,Costa Rica,1.0,f
1680,3372,,Maldives,1.0,f
1687,15246,,Mexico,1.0,t
1690,31060,,Isle of Man,1.0,t
1692,27074,,Russian Federation,1.0,t
1694,39638,,Afghanistan,1.0,f
1695,30279,,Kenya,1.0,f
1696,49324,,,1.0,f
1697,4695,,,1.0,t
1700,7251,100%,Turks and Caicos Islands,3.0,t
1702,17095,,,1.0,t
1703,43394,,Russian Federation,1.0,f
1704,6810,,,1.0,f
1705,47239,100%,,2.0,f
1706,1527,,,1.0,t
1710,15842,,Isle of Man,1.0,f
1713,35345,,Zimbabwe,1.0,t
1714,43748,,France,1.0,t
1719,42524,,Nauru,1.0,t
1721,49212,,Somalia,1.0,t
1722,15281,,Bosnia and Herzegovina,1.0,f
1725,4271,,Turks and Caicos Islands,1.0,f
1726,20525,100%,,1.0,t
1729,12877,,Croatia,1.0,t
1730,36384,100%,,1.0,f
1731,48305,100%,Guinea,2.0,t
1732,21371,,Guinea,2.0,f
1733,3916,100%,Guernsey,1.0,t
1734,27357,,Russian Federation,1.0,t
1737,10906,,Chad,1.0,f
1738,47836,,,1.0,t
1741,21155,100%,Libyan Arab Jamahiriya,1.0,f
1742,6526,,Lebanon,2.0,t
1743,31631,,Tonga,1.0,t
1744,20236,100%,Isle of Man,1.0,t
1745,6959,95%,Slovakia (Slovak Republic),20.0,t
1747,46851,100%,Gibraltar,1.0,t
1749,19112,,Malta,1.0,f
1752,17726,,Lebanon,1.0,t
1754,39263,100%,Rwanda,2.0,t
1759,2217,,,9.0,f
1760,47420,,Nauru,1.0,t
1761,42726,100%,Niue,1.0,f
1763,19028,,Turkmenistan,1.0,t
1764,33911,100%,Kiribati,2.0,t
1768,20130,,United Kingdom,1.0,f
1769,2725,100%,,3.0,t
1770,17010,100%,United Kingdom,2.0,t
1773,25210,,Russian Federation,2.0,f
1775,45905,100%,Sao Tome and Principe,3.0,t
1777,20970,,China,1.0,f
1778,2034,,Lithuania,2.0,t
1786,39388,0%,,2.0,t
1793,14490,100%,Denmark,1.0,t
1794,34586,75%,,1.0,t
1796,24073,100%,Zimbabwe,2.0,f
1798,46530,90%,Malawi,1.0,t
1800,12371,,Cape Verde,1.0,t
1803,40483,50%,Niue,1.0,f
1805,42819,100%,Lebanon,2.0,f
1810,28041,,Guernsey,1.0,f
1814,39821,,,1.0,t
1816,15474,,Sao Tome and Principe,1.0,t
1818,16678,,Micronesia,1.0,f
1819,43180,,,1.0,f
1820,2175,,Uganda,1.0,t
1822,34514,,Lebanon,1.0,t
1824,41473,,Niue,2.0,t
1835,28469,100%,Vanuatu,3.0,t
1836,33060,,,1.0,f
1837,4282,,Maldives,2.0,t
1842,17632,71%,Afghanistan,1.0,t
1843,8546,,San Marino,1.0,t
1846,11833,90%,Afghanistan,2.0,f
1851,34209,,Philippines,1.0,f
1852,24888,100%,Estonia,1.0,t
1853,9154,100%,Djibouti,2.0,f
