,id,company_rating,company_location,total_fleet_count,iata_approved
1174,1787,,Isle of Man,1.0,f
1175,47200,67%,Costa Rica,1.0,t
1176,25734,78%,Bosnia and Herzegovina,1.0,f
1177,16307,100%,,2.0,f
1188,36859,,,2.0,f
1192,49626,,Tanzania,2.0,t
1195,42062,,Lebanon,1.0,t
1196,42678,,Sao Tome and Principe,1.0,t
1199,11234,100%,,2.0,f
1203,40602,,Slovenia,1.0,f
1204,32226,30%,,1.0,f
1205,5232,93%,,2.0,t
1207,39944,,Lebanon,1.0,t
1212,5945,,French Guiana,1.0,t
1214,30870,,,1.0,t
1215,765,,Mauritania,1.0,t
1216,46925,,,1.0,t
1221,31972,100%,,1.0,t
1222,20382,100%,Svalbard & Jan Mayen Islands,4.0,t
1223,10061,100%,Mauritania,1.0,t
1226,21410,,,1.0,t
1227,19062,,Brazil,1.0,f
1235,29195,,Nicaragua,1.0,f
1237,20466,100%,Anguilla,1.0,f
1240,7000,100%,,1.0,t
1241,46449,100%,Tonga,1.0,f
1248,20517,,Kenya,1.0,f
1253,33543,,,1.0,f
1259,36726,94%,Mexico,6.0,f
1261,44451,33%,,1.0,f
1269,8060,,,1.0,f
1272,20935,100%,Gambia,2.0,f
1285,28062,,Isle of Man,1.0,f
1289,22986,,,1.0,f
1298,48478,100%,Marshall Islands,1.0,t
1302,49471,100%,,2.0,t
1306,5536,,Barbados,1.0,t
1307,48280,,,1.0,f
1309,3325,50%,,1.0,f
1312,30357,,,1.0,t
1313,37530,,Niue,1.0,t
1314,7720,,Tonga,1.0,f
1320,379,50%,Guinea,1.0,f
1321,36716,100%,Bosnia and Herzegovina,3.0,f
1322,29479,33%,,1.0,t
1323,25134,,,1.0,t
1324,49581,,,1.0,f
1325,48784,,,2.0,t
1327,31288,100%,Isle of Man,1.0,f
1332,29875,,,1.0,t
1336,35236,100%,Chile,1.0,t
1340,5381,,French Guiana,1.0,t
1341,46195,89%,Maldives,6.0,t
1342,39612,100%,,1.0,f
1343,20166,,Djibouti,1.0,f
1346,6738,100%,,2.0,f
1347,13133,67%,Denmark,1.0,t
1350,21386,100%,Isle of Man,1.0,t
1358,22877,,,1.0,f
1360,4103,,,1.0,f
1361,43774,,,1.0,f
1364,47886,100%,Turkmenistan,1.0,t
1366,17680,,Malta,1.0,t
1368,18191,,Djibouti,2.0,f
1369,11157,100%,,2.0,t
1371,18607,100%,Niue,1.0,f
1374,47730,100%,Saint Helena,1.0,f
1375,33725,80%,Slovakia (Slovak Republic),1.0,f
1377,27970,100%,Niue,2.0,t
1380,44116,100%,Zimbabwe,1.0,t
1383,45546,100%,Cape Verde,19.0,t
1390,35018,100%,Nicaragua,10.0,f
1396,887,,Turkmenistan,1.0,f
1397,6501,100%,,1.0,f
1400,1549,100%,Malta,1.0,t
1404,7054,100%,,1.0,f
1408,46105,100%,Nicaragua,4.0,t
1409,45394,100%,Marshall Islands,2.0,f
1411,42107,,Fiji,1.0,f
1420,15004,100%,Uzbekistan,88.0,f
1422,4840,,,1.0,f
1423,37565,100%,Slovenia,1.0,t
1424,27212,,,1.0,f
1425,33961,100%,Indonesia,3.0,t
1426,27157,,El Salvador,1.0,t
1430,19643,,,2.0,f
1432,40626,93%,United Kingdom,5.0,t
1435,13134,,,1.0,t
1440,32081,,,1.0,f
1441,23377,,Micronesia,1.0,f
1442,6976,,Uzbekistan,2.0,f
1448,33372,100%,Guinea,22.0,t
1449,13545,,Papua New Guinea,1.0,t
1450,6755,100%,Barbados,2.0,f
1452,7382,33%,,1.0,t
1454,34200,,,1.0,f
1456,47476,,Kenya,1.0,t
1457,35548,,Guernsey,1.0,t
1458,37136,,,1.0,f
1476,27860,,Isle of Man,1.0,t
1483,46848,100%,,1.0,f
1489,11552,50%,France,1.0,t
1490,36302,100%,Vanuatu,1.0,f
1494,37807,,Jersey,1.0,f
1497,20948,,Denmark,1.0,t
1499,13085,100%,Guinea,1.0,t
1503,25344,90%,Faroe Islands,8.0,f
1507,45041,100%,Niue,2.0,f
1509,10441,100%,,2.0,f
1513,23566,,Denmark,1.0,f
1515,26807,,Zimbabwe,1.0,f
1520,42054,100%,Guinea,2.0,f
1521,14425,,Gibraltar,2.0,t
1523,4705,,China,2.0,t
1525,20456,100%,,1.0,f
1529,26461,,Monaco,1.0,f
1530,21511,,,1.0,f
1535,5105,,Niue,1.0,f
1536,10204,100%,Nicaragua,5.0,t
1538,16527,100%,Palestinian Territory,2.0,f
1539,20987,100%,,1.0,f
1541,34302,,,2.0,t
1551,3365,100%,,1.0,t
1552,6471,100%,Zimbabwe,1.0,t
1553,47505,,,2.0,t
1554,44753,100%,,1.0,f
1557,15272,100%,,2.0,t
1558,10732,,Uganda,5.0,f
1560,26460,,Nicaragua,1.0,f
1565,10891,,,1.0,f
1566,21232,90%,Kiribati,2.0,t
1569,20926,,Sao Tome and Principe,1.0,f
1571,33101,100%,Nauru,2.0,f
1573,43980,,Croatia,1.0,t
1574,37286,100%,,2.0,f
1575,38011,,,1.0,f
1576,46910,,,1.0,t
1579,36502,70%,,2.0,f
1580,12257,,Isle of Man,1.0,f
1581,39248,97%,Cuba,5.0,f
1582,32603,83%,Nicaragua,4.0,t
1586,40532,100%,,1.0,t
1587,34992,,Croatia,1.0,f
1588,42155,,Uzbekistan,1.0,f
1590,10726,100%,,1.0,f
1591,24444,,Estonia,1.0,f
1592,49703,100%,Nicaragua,9.0,f
1593,46035,100%,United Kingdom,1.0,f
1594,31721,50%,,1.0,f
1596,18563,,Jersey,1.0,t
1601,39217,,,1.0,f
1604,22047,100%,,1.0,t
1606,31314,100%,Guinea,4.0,t
1609,38903,25%,,1.0,f
1611,34392,,,1.0,f
1614,43156,100%,Papua New Guinea,1.0,t
1618,48004,100%,,1.0,f
1621,23248,100%,Sao Tome and Principe,1.0,f
1625,15531,,Monaco,1.0,t
1628,47068,,Tunisia,1.0,f
1636,18424,,,1.0,f
1637,26238,100%,Turkmenistan,2.0,t
1638,19,100%,Reunion,2.0,f
1647,11604,100%,,1.0,f
1652,41374,,,1.0,f
1653,7940,100%,Niue,1.0,t
1658,15886,,Sao Tome and Principe,1.0,t
1660,36013,100%,,1.0,t
1662,5296,100%,Mauritania,4.0,f
1667,3932,100%,Uzbekistan,2.0,f
1669,21696,67%,Bouvet Island (Bouvetoya),2.0,t
1673,44256,,Nicaragua,1.0,t
1675,20352,,,1.0,t
1677,26020,,Palestinian Territory,1.0,f
1681,47442,,Zimbabwe,1.0,f
1685,6184,,Nicaragua,1.0,f
1705,47239,100%,,2.0,f
1707,24285,100%,Bouvet Island (Bouvetoya),1.0,f
1709,35262,,Lebanon,1.0,t
1715,27492,100%,Nicaragua,2.0,t
1723,490,100%,Bosnia and Herzegovina,6.0,f
1724,36748,,Ghana,3.0,f
1727,15929,,Rwanda,1.0,f
1732,21371,,Guinea,2.0,f
1736,39889,,,1.0,f
1739,41667,100%,,2.0,t
1740,7062,,Chile,1.0,t
1746,8537,,Bouvet Island (Bouvetoya),1.0,f
1751,50086,100%,,1.0,f
1753,24178,100%,,1.0,f
1756,4857,,,1.0,f
1757,9568,,,1.0,f
1758,39294,,Russian Federation,1.0,t
1759,2217,,,9.0,f
1762,46321,,,1.0,f
1765,17969,100%,Russian Federation,1.0,f
1767,47204,,,1.0,t
1771,12591,100%,Maldives,4.0,t
1774,46305,,,1.0,f
1776,38394,,,1.0,f
1779,28496,100%,Nicaragua,38.0,f
1780,46019,100%,,1.0,t
1782,49290,,,1.0,f
1784,42362,,,1.0,f
1785,35962,,Mexico,1.0,f
1789,27773,100%,Togo,1.0,f
1792,11968,100%,,3.0,f
1795,27964,,Russian Federation,1.0,f
1797,49292,,Denmark,1.0,f
1804,4735,100%,,2.0,f
1806,21917,100%,,1.0,f
1807,10266,,Senegal,1.0,f
1809,26536,,Denmark,1.0,f
1811,32066,,,1.0,f
1812,2833,100%,Cuba,1.0,t
1815,15981,,Slovakia (Slovak Republic),1.0,f
1817,40114,,,1.0,f
1821,42934,,Faroe Islands,1.0,t
1823,38087,100%,Niger,1.0,f
1826,16060,,,1.0,f
1827,22162,,,1.0,f
1828,28506,,Marshall Islands,1.0,f
1829,18164,100%,Marshall Islands,5.0,f
1830,10844,,,1.0,f
1832,42753,,Bosnia and Herzegovina,1.0,t
1833,28740,100%,,1.0,f
1834,36260,100%,Papua New Guinea,1.0,f
1838,31102,,,1.0,t
1840,21083,100%,Spain,3.0,t
1844,29927,100%,,2.0,f
1845,3713,0%,El Salvador,1.0,f
1855,33440,88%,Isle of Man,3.0,f
1858,45590,100%,Turkmenistan,2.0,t
1870,24529,,Maldives,2.0,f
1875,35655,100%,Niue,1.0,f
1877,42261,100%,Niue,1.0,f
1882,15020,100%,Denmark,1.0,f
1883,222,89%,,16.0,f
1886,12165,,,1.0,f
1896,38775,,,1.0,f
1900,5751,,Brazil,1.0,f
1910,3961,100%,Fiji,8.0,f
1917,37430,,,1.0,f
1918,34500,100%,Chad,1.0,t
1925,33469,,,1.0,f
1926,48982,,Portugal,1.0,f
1927,44547,100%,Venezuela,1.0,f
1934,20515,100%,Niue,2.0,t
1947,47441,100%,,1.0,f
1949,5387,,,1.0,f
1950,36206,86%,Russian Federation,10.0,f
1951,10883,100%,Niger,8.0,t
1952,42945,100%,,1.0,f
1957,31691,,Puerto Rico,1.0,f
1959,41061,,Maldives,1.0,t
1964,24531,,Turkmenistan,1.0,f
1965,48849,,Denmark,1.0,f
1966,26611,100%,Papua New Guinea,2.0,f
1969,16485,,Bosnia and Herzegovina,1.0,f
1971,41271,100%,,2.0,t
1977,1783,100%,Tunisia,2.0,t
1981,35134,,Ecuador,2.0,f
1982,7804,100%,Russian Federation,3.0,f
1983,24173,,,1.0,f
1987,42543,,,1.0,f
1995,1159,100%,Monaco,1.0,t
1996,13281,,,1.0,f
1997,43675,70%,Micronesia,2.0,f
1998,2183,100%,Isle of Man,3.0,f
2001,12584,,Philippines,1.0,t
2002,12014,100%,Pakistan,1.0,f
2003,41230,100%,Togo,2.0,f
2010,28175,,,1.0,f
2012,28047,100%,Uzbekistan,4.0,f
2017,4286,100%,,1.0,f
2018,15344,100%,Svalbard & Jan Mayen Islands,1.0,f
2025,9621,,,1.0,t
2026,1756,,Croatia,1.0,f
2032,1961,100%,,1.0,f
2034,42790,,Marshall Islands,1.0,t
2037,37901,,Micronesia,1.0,t
2038,41679,,Bosnia and Herzegovina,1.0,t
2040,34125,,,1.0,t
2047,5721,100%,Togo,1.0,f
2055,38315,100%,,1.0,t
2058,16229,,Pakistan,3.0,f
2059,19847,100%,Maldives,1.0,f
2061,4881,,Kenya,1.0,f
2063,4517,100%,El Salvador,3.0,t
2064,26728,,,1.0,f
2070,44696,,,1.0,f
2072,40317,100%,Uzbekistan,2.0,t
2073,7374,100%,,1.0,f
2076,39037,,Isle of Man,2.0,t
2077,39699,100%,Vanuatu,1.0,f
2078,48650,,Guernsey,1.0,f
2081,48470,90%,Pakistan,4.0,f
2082,28146,,Vanuatu,1.0,t
2085,41208,,Anguilla,1.0,f
2087,35696,,,3.0,t
2089,6684,,Sao Tome and Principe,1.0,f
2091,21294,,,1.0,t
2092,31479,,Barbados,1.0,f
2093,398,,Uzbekistan,1.0,t
2094,8015,100%,Denmark,1.0,t
2097,16328,100%,,1.0,f
2100,24766,,,1.0,t
2101,37040,,Tonga,1.0,f
2104,35417,,,1.0,t
2107,6781,100%,Tanzania,1.0,f
2109,11720,,Finland,1.0,f
2111,34064,,Christmas Island,3.0,t
2118,25106,,Costa Rica,2.0,t
2119,13138,100%,Faroe Islands,2.0,t
2120,46240,100%,Nicaragua,1.0,t
2121,29547,,Nicaragua,1.0,f
2122,34195,100%,,1.0,t
2126,49876,,Kiribati,1.0,f
2132,15716,,Maldives,1.0,f
2134,6571,90%,,1.0,t
2136,24203,,,2.0,t
2137,12402,67%,,1.0,t
2140,48084,,Niger,3.0,f
2142,9999,100%,Isle of Man,1.0,f
2146,14859,,Turkmenistan,1.0,t
2150,30443,,,1.0,f
2151,21230,100%,Lithuania,1.0,f
2153,168,,Portugal,1.0,f
2156,9354,100%,Spain,12.0,f
2162,6932,,,1.0,t
2163,32778,,,1.0,t
2165,49851,,Ukraine,1.0,f
2167,2403,50%,Gibraltar,2.0,f
2169,22584,,,1.0,f
2178,17926,,Faroe Islands,1.0,f
2184,34044,,,1.0,t
2186,16739,,,2.0,f
2187,41521,,Monaco,1.0,f
2189,45313,,,1.0,f
2190,18012,100%,,2.0,t
2191,10111,,Anguilla,1.0,f
2193,17890,100%,France,1.0,f
2194,6512,100%,,1.0,f
2197,27926,,Bosnia and Herzegovina,2.0,f
2199,3892,,,1.0,t
2200,27795,,Nicaragua,1.0,f
2205,651,100%,Lebanon,4.0,t
2209,49227,,,1.0,t
2211,11081,,Faroe Islands,2.0,f
2212,11421,,,1.0,f
2218,41177,100%,Ecuador,6.0,t
2222,11121,,,1.0,t
2224,24951,,,1.0,f
2225,44650,67%,Jersey,1.0,f
2226,36977,78%,,2.0,f
2231,43877,,Chad,1.0,t
2239,10542,,Pakistan,1.0,f
2240,43689,0%,,1.0,f
2242,36526,100%,Russian Federation,1.0,f
2247,49396,,Greenland,1.0,f
2249,8179,100%,,1.0,f
2253,9345,100%,Bosnia and Herzegovina,4.0,f
2255,42394,100%,Marshall Islands,2.0,f
2257,8623,100%,Jersey,1.0,f
2261,14677,,Marshall Islands,1.0,t
2268,17780,,,2.0,f
2269,34084,100%,Gibraltar,1.0,f
2275,49623,100%,Faroe Islands,1.0,f
2276,33958,100%,,1.0,f
2278,36835,,Bouvet Island (Bouvetoya),1.0,f
2279,8851,,,1.0,t
2281,48501,,,1.0,t
2284,9852,100%,Maldives,11.0,f
2285,1564,100%,Indonesia,12.0,f
2287,31896,86%,Niue,1.0,t
2291,4077,,Niue,1.0,t
2292,47182,,,1.0,f
2293,40364,100%,Tonga,25.0,f
2294,13322,50%,Anguilla,2.0,f
2297,2568,50%,Gibraltar,1.0,f
2300,11219,100%,,1.0,f
2302,9484,100%,,1.0,f
2305,34573,,,1.0,f
2308,779,,,2.0,f
2312,9749,100%,Marshall Islands,1.0,t
2313,8842,100%,Slovakia (Slovak Republic),3.0,f
2322,32346,100%,United Kingdom,3.0,f
2327,24651,,Kiribati,4.0,f
2328,44519,,Cocos (Keeling) Islands,1.0,f
2329,37043,100%,Pakistan,11.0,f
2332,32792,,Indonesia,12.0,f
2333,25010,,,2.0,f
