,id,shuttle_location,shuttle_type,engine_type,engine_vendor,engines,passenger_capacity,cancellation_policy,crew,d_check_complete,moon_clearance_complete,price,company_id
62,77029,Malta,Type V5,Plasma,ThetaBase Services,1.0,3,moderate,1.0,f,f,"$2,430.0",17703
63,6062,Faroe Islands,Type F5,Quantum,ThetaBase Services,1.0,2,moderate,1.0,f,f,"$1,455.0",42686
64,9155,Sao Tome and Principe,Type V2,Quantum,ThetaBase Services,1.0,2,moderate,0.0,f,f,"$1,247.0",8930
65,57334,Bouvet Island (Bouvetoya),Type F5,Quantum,ThetaBase Services,1.0,1,moderate,1.0,f,f,"$1,390.0",293
66,2266,Bouvet Island (Bouvetoya),Type V2,Plasma,ThetaBase Services,3.0,8,strict,4.0,f,f,"$2,469.0",44853
67,62819,Faroe Islands,Type F5,Quantum,ThetaBase Services,1.0,3,flexible,1.0,f,f,"$1,598.0",4038
68,24650,Rwanda,Type F5,Plasma,ThetaBase Services,1.0,2,strict,2.0,f,f,"$2,300.0",28458
69,40761,Nicaragua,Type V5,Plasma,ThetaBase Services,1.0,4,strict,3.0,f,f,"$2,040.0",24133
70,62092,United Kingdom,Type V5,Quantum,ThetaBase Services,1.0,1,flexible,,f,f,"$1,611.0",20550
71,8691,United Kingdom,Type F5,Quantum,ThetaBase Services,1.0,2,strict,1.0,f,f,"$1,325.0",4237
72,53116,Bouvet Island (Bouvetoya),Type V5,Quantum,ThetaBase Services,1.0,1,flexible,1.0,f,f,"$1,390.0",10392
73,50190,Uzbekistan,Type F5,Quantum,ThetaBase Services,1.0,1,moderate,1.0,f,f,"$1,520.0",28911
74,48391,Sao Tome and Principe,Type F5,Quantum,ThetaBase Services,1.0,1,strict,1.0,t,f,"$1,325.0",39724
75,56396,Nicaragua,Type V5,Quantum,ThetaBase Services,1.0,1,strict,1.0,f,f,"$1,585.0",32659
76,30465,Micronesia,Type V5,Plasma,ThetaBase Services,1.0,2,strict,1.0,f,f,"$1,910.0",11428
77,55579,United Kingdom,Type V5,Quantum,ThetaBase Services,1.0,3,strict,2.0,f,f,"$1,481.0",10204
78,28853,Anguilla,Type F5,Quantum,ThetaBase Services,1.0,1,moderate,1.0,f,f,"$1,247.0",36659
79,68424,Russian Federation,Type V5,Quantum,ThetaBase Services,2.0,3,moderate,2.0,f,f,"$1,910.0",31686
80,14058,Malta,Type V5,Quantum,ThetaBase Services,1.0,2,moderate,1.0,f,f,"$1,312.0",8654
81,42319,Malta,Type V5,Quantum,ThetaBase Services,1.0,1,moderate,1.0,t,f,"$1,429.0",38347
82,44970,Anguilla,Type F5,Quantum,ThetaBase Services,1.0,2,flexible,1.0,f,f,"$1,520.0",46667
83,38755,Costa Rica,Type O3,Quantum,ThetaBase Services,1.0,2,strict,1.0,f,f,"$1,845.0",37392
84,62135,Russian Federation,Type V5,Plasma,ThetaBase Services,1.0,2,strict,1.0,f,f,"$2,105.0",1499
85,65948,Nicaragua,Type V5,Plasma,ThetaBase Services,1.0,2,strict,1.0,f,f,"$2,196.0",6896
86,53347,Nicaragua,Type V2,Plasma,ThetaBase Services,3.0,6,strict,3.0,t,f,"$4,445.0",10818
87,65506,United Kingdom,Type V5,Quantum,ThetaBase Services,1.0,2,strict,1.0,f,f,"$1,247.0",15164
88,49181,Anguilla,Type F5,Quantum,ThetaBase Services,1.0,2,flexible,1.0,f,f,"$1,988.0",263
89,9219,United Kingdom,Type V5,Plasma,ThetaBase Services,2.0,4,strict,2.0,f,f,"$2,625.0",15164
90,53927,Barbados,Type V5,Plasma,ThetaBase Services,1.0,2,strict,1.0,t,f,"$1,780.0",21341
91,31148,Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,1.0,2,moderate,1.0,f,f,"$2,820.0",34203
92,64665,Faroe Islands,Type F5,Quantum,ThetaBase Services,1.0,5,strict,3.0,f,f,"$1,390.0",14369
93,62620,Sao Tome and Principe,Type V5,Plasma,ThetaBase Services,2.0,4,strict,2.0,t,f,"$2,950.0",34259
94,57908,United Kingdom,Type V5,Quantum,ThetaBase Services,1.0,2,strict,1.0,t,f,"$1,559.0",8442
95,22623,Brazil,Type X3,Plasma,ThetaBase Services,1.0,4,strict,1.0,f,f,"$1,910.0",425
96,24279,Micronesia,Type V5,Quantum,ThetaBase Services,1.0,1,strict,1.0,f,f,"$1,624.0",41880
97,61273,Sao Tome and Principe,Type F5,Quantum,ThetaBase Services,1.0,2,strict,1.0,t,f,"$1,494.0",39724
98,69882,Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,1.0,2,strict,1.0,f,f,"$1,845.0",34126
99,46698,Uzbekistan,Type F5,Quantum,ThetaBase Services,1.0,2,strict,1.0,f,f,"$1,325.0",3777
100,38657,Nicaragua,Type F5,Plasma,ThetaBase Services,3.0,8,strict,4.0,f,f,"$11,062.0",47152
101,62223,Malta,Type V5,Plasma,ThetaBase Services,2.0,5,strict,2.0,t,f,"$2,001.0",40390
102,62211,Estonia,Type V5,Quantum,ThetaBase Services,1.0,2,strict,1.0,f,f,"$2,430.0",20417
103,69763,Sao Tome and Principe,Type V5,Quantum,ThetaBase Services,1.0,2,moderate,1.0,t,f,"$1,650.0",34259
104,57220,Sao Tome and Principe,Type V5,Plasma,ThetaBase Services,1.0,2,flexible,1.0,f,f,"$2,820.0",6053
105,70959,Chad,Type V5,Plasma,ThetaBase Services,2.0,4,flexible,1.0,f,f,"$2,755.0",17725
106,24928,Uzbekistan,Type V5,Plasma,ThetaBase Services,2.0,2,flexible,1.0,f,f,"$3,470.0",34107
107,14185,Mexico,Type V2,Quantum,ThetaBase Services,1.0,2,flexible,1.0,t,f,"$1,130.0",10950
108,29920,Bosnia and Herzegovina,Type F5,Quantum,ThetaBase Services,1.0,1,strict,1.0,f,f,"$1,130.0",27316
109,11888,Bosnia and Herzegovina,Type O3,Quantum,ThetaBase Services,1.0,1,flexible,1.0,f,f,"$1,390.0",27316
110,66198,Costa Rica,Type F5,Quantum,ThetaBase Services,1.0,2,flexible,1.0,f,f,"$1,650.0",20272
111,55265,Malta,Type V5,Plasma,ThetaBase Services,2.0,5,strict,2.0,f,f,"$2,105.0",34753
112,25548,Nicaragua,Type F5,Quantum,ThetaBase Services,1.0,4,strict,1.0,f,f,"$5,966.0",47152
113,48917,Faroe Islands,Type O3,Quantum,ThetaBase Services,1.0,2,strict,1.0,f,f,"$1,520.0",1539
114,20524,Bouvet Island (Bouvetoya),Type V5,Quantum,ThetaBase Services,1.0,1,flexible,1.0,f,f,"$1,390.0",13458
115,25889,Russian Federation,Type V2,Quantum,ThetaBase Services,1.0,2,strict,1.0,t,f,"$2,144.0",36524
116,71387,Micronesia,Type V5,Plasma,ThetaBase Services,1.0,4,moderate,1.0,t,f,"$3,145.0",4306
117,50007,Micronesia,Type V5,Plasma,ThetaBase Services,2.0,4,strict,2.0,f,f,"$2,820.0",10079
118,63296,Bosnia and Herzegovina,Type F5,Quantum,ThetaBase Services,1.0,2,strict,2.0,f,f,"$1,260.0",27316
119,1245,Gambia,Type V5,Plasma,ThetaBase Services,2.0,6,strict,4.0,f,f,"$2,690.0",33823
120,27694,Rwanda,Type V5,Plasma,ThetaBase Services,2.0,4,moderate,2.0,f,f,"$2,820.0",19806
121,15821,Rwanda,Type V7,Plasma,ThetaBase Services,2.0,6,strict,2.0,f,f,"$4,445.0",19934
122,21340,Micronesia,Type V5,Quantum,ThetaBase Services,1.0,2,strict,1.0,f,f,"$1,455.0",34296
123,45164,Rwanda,Type V2,Plasma,ThetaBase Services,2.0,6,moderate,3.0,t,f,"$2,755.0",22324
124,55707,Rwanda,Type V5,Plasma,ThetaBase Services,2.0,5,strict,1.0,f,f,"$1,949.0",42262
125,26825,Niue,Type Z6,Quantum,ThetaBase Services,1.0,1,flexible,1.0,t,f,"$1,260.0",8945
126,30759,Nicaragua,Type V5,Quantum,ThetaBase Services,1.0,2,strict,1.0,t,f,"$2,027.0",10865
127,26566,United Kingdom,Type V5,Quantum,ThetaBase Services,1.0,2,flexible,1.0,f,f,"$1,455.0",1082
128,53300,Sao Tome and Principe,Type V5,Plasma,ThetaBase Services,2.0,5,moderate,3.0,f,f,"$2,820.0",19028
129,29055,Pakistan,Type V5,Plasma,ThetaBase Services,1.0,4,strict,2.0,f,f,"$1,910.0",16587
130,14143,Sao Tome and Principe,Type V5,Quantum,ThetaBase Services,1.0,2,strict,1.0,f,f,"$1,338.0",10212
131,60535,Sao Tome and Principe,Type V5,Plasma,ThetaBase Services,2.0,3,strict,1.0,f,f,"$2,430.0",10212
132,31446,Rwanda,Type V7,Quantum,ThetaBase Services,1.0,2,strict,1.0,f,f,"$1,650.0",14629
133,63186,Rwanda,Type V5,Quantum,ThetaBase Services,1.0,2,strict,1.0,t,f,"$1,260.0",14629
134,58248,Malta,Type F5,Quantum,ThetaBase Services,1.0,1,flexible,1.0,t,f,"$1,325.0",31381
135,3928,Malta,Type F5,Quantum,ThetaBase Services,1.0,1,moderate,1.0,t,f,"$1,325.0",31381
136,61718,Bouvet Island (Bouvetoya),Type F5,Plasma,ThetaBase Services,4.0,7,strict,7.0,f,f,"$2,690.0",24713
137,45061,Nicaragua,Type V5,Quantum,"Banks, Wood and Phillips",1.0,3,strict,1.0,f,f,"$1,546.0",2115
138,9738,Nicaragua,Type V5,Plasma,ThetaBase Services,1.0,5,strict,2.0,f,f,"$2,950.0",2115
139,59108,Switzerland,Type F5,Quantum,ThetaBase Services,1.0,2,flexible,1.0,f,f,"$2,820.0",39416
140,25137,Rwanda,Type V5,Quantum,ThetaBase Services,1.0,1,flexible,1.0,f,f,"$1,351.0",41207
141,19720,Malta,Type F5,Quantum,ThetaBase Services,1.0,2,flexible,1.0,t,f,"$3,860.0",11024
142,32096,Switzerland,Type O3,Quantum,ThetaBase Services,1.0,2,flexible,1.0,f,f,"$1,845.0",43313
143,41284,Malta,Type Z6,Quantum,ThetaBase Services,1.0,2,moderate,1.0,f,f,"$2,495.0",19141
144,59532,Bouvet Island (Bouvetoya),Type V5,Quantum,ThetaBase Services,1.0,2,moderate,1.0,f,f,"$1,325.0",22030
145,28342,Bouvet Island (Bouvetoya),Type V5,Quantum,ThetaBase Services,1.0,2,strict,1.0,f,f,"$1,585.0",31871
146,61194,Uzbekistan,Type V5,Quantum,ThetaBase Services,1.0,2,moderate,1.0,f,f,"$1,520.0",37632
147,2390,Barbados,Type V5,Quantum,ThetaBase Services,1.0,2,strict,1.0,f,f,"$1,650.0",14700
148,50943,Barbados,Type V5,Quantum,ThetaBase Services,1.0,1,strict,1.0,f,f,"$1,520.0",14700
149,1464,Gambia,Type V5,Quantum,ThetaBase Services,1.0,1,moderate,1.0,f,f,"$1,312.0",38159
150,47810,United Kingdom,Type V5,Quantum,ThetaBase Services,1.0,1,strict,1.0,f,f,"$1,260.0",38742
151,73246,Gambia,Type F5,Quantum,ThetaBase Services,1.0,2,flexible,1.0,f,f,"$1,455.0",49221
152,21708,Switzerland,Type F5,Quantum,ThetaBase Services,1.0,2,strict,1.0,f,f,"$3,470.0",2284
153,5480,Nicaragua,Type V5,Plasma,ThetaBase Services,2.0,2,flexible,2.0,f,f,"$1,910.0",22074
154,18325,Russian Federation,Type V5,Quantum,ThetaBase Services,1.0,1,strict,1.0,f,f,"$1,416.0",48879
155,25749,Bouvet Island (Bouvetoya),Type V5,Quantum,ThetaBase Services,1.0,2,strict,1.0,f,f,"$1,650.0",16273
156,76729,Micronesia,Type V5,Plasma,ThetaBase Services,3.0,5,flexible,3.0,f,f,"$4,510.0",37662
157,30461,Rwanda,Type V5,Plasma,ThetaBase Services,1.0,2,strict,1.0,f,f,"$1,780.0",10195
158,75029,Anguilla,Type F5,Plasma,ThetaBase Services,1.0,2,flexible,1.0,f,f,"$1,520.0",7802
159,5819,Barbados,Type V5,Quantum,ThetaBase Services,0.0,2,strict,1.0,t,f,"$2,833.0",37117
160,21106,Bouvet Island (Bouvetoya),Type V5,Quantum,ThetaBase Services,1.0,2,strict,1.0,f,f,"$1,390.0",33956
161,58955,Sao Tome and Principe,Type V2,Plasma,ThetaBase Services,2.0,4,strict,2.0,f,f,"$2,430.0",10702
162,30363,Russian Federation,Type V5,Plasma,ThetaBase Services,2.0,4,moderate,2.0,f,f,"$1,910.0",6364
163,12974,Kiribati,Type F5,Quantum,ThetaBase Services,1.0,2,strict,1.0,f,f,"$1,312.0",30846
164,4819,Niue,Type F5,Quantum,ThetaBase Services,1.0,2,moderate,2.0,f,f,"$1,520.0",25473
165,45465,Malta,Type F5,Quantum,ThetaBase Services,1.0,3,strict,3.0,f,f,"$2,820.0",3052
166,10811,Malta,Type F5,Quantum,ThetaBase Services,1.0,2,strict,1.0,f,f,"$2,690.0",3052
167,24042,Malta,Type F5,Quantum,ThetaBase Services,1.0,2,strict,1.0,f,f,"$2,690.0",3052
168,62917,United Kingdom,Type F5,Quantum,ThetaBase Services,1.0,2,flexible,1.0,f,f,"$1,195.0",17650
169,39980,Brazil,Type F5,Quantum,ThetaBase Services,1.0,2,strict,1.0,f,f,"$1,520.0",6438
170,63824,United Kingdom,Type V5,Plasma,ThetaBase Services,1.0,2,strict,1.0,f,f,"$2,040.0",39467
171,28814,Bouvet Island (Bouvetoya),Type V7,Quantum,ThetaBase Services,1.0,2,strict,1.0,f,f,"$1,793.0",5223
172,75959,Bouvet Island (Bouvetoya),Type V5,Quantum,ThetaBase Services,1.0,2,strict,1.0,f,f,"$2,820.0",16415
173,44067,Micronesia,Type V5,Quantum,ThetaBase Services,1.0,2,strict,1.0,f,f,"$1,455.0",38514
174,3980,Estonia,Type V5,Quantum,ThetaBase Services,1.0,1,moderate,1.0,f,f,"$1,520.0",6038
175,37297,Estonia,Type F5,Quantum,ThetaBase Services,1.0,1,strict,1.0,t,f,"$1,195.0",33400
176,11190,Estonia,Type F5,Quantum,ThetaBase Services,1.0,3,moderate,2.0,t,f,"$1,416.0",33400
177,46614,Marshall Islands,Type F5,Quantum,ThetaBase Services,1.0,1,strict,1.0,t,f,"$1,715.0",40047
178,22804,Russian Federation,Type V5,Plasma,ThetaBase Services,1.0,2,strict,1.0,f,f,"$2,365.0",1164
179,19451,Switzerland,Type V5,Quantum,ThetaBase Services,1.0,2,moderate,1.0,f,f,"$1,390.0",42135
180,63952,Brazil,Type V5,Quantum,ThetaBase Services,1.0,1,flexible,1.0,f,f,"$1,520.0",16793
181,16187,Russian Federation,Type V2,Quantum,ThetaBase Services,1.0,2,moderate,1.0,t,f,"$1,494.0",13831
182,72768,Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,1.0,2,moderate,1.0,f,f,"$1,910.0",43455
183,32811,Uzbekistan,Type V5,Quantum,ThetaBase Services,1.0,2,flexible,1.0,f,f,"$1,364.0",35827
184,26349,Russian Federation,Type O3,Quantum,ThetaBase Services,1.0,2,strict,2.0,f,f,"$1,585.0",43481
185,9169,Rwanda,Type V5,Quantum,ThetaBase Services,1.0,2,moderate,1.0,t,f,"$1,845.0",24781
186,26104,Russian Federation,Type V5,Plasma,ThetaBase Services,1.0,4,strict,1.0,f,f,"$2,170.0",23308
187,21717,Barbados,Type V5,Quantum,ThetaBase Services,1.0,2,strict,1.0,f,f,"$2,040.0",37298
188,41579,Bouvet Island (Bouvetoya),Type V5,Quantum,ThetaBase Services,1.0,2,moderate,1.0,f,f,"$2,040.0",30112
189,7202,Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,1.0,2,strict,2.0,f,f,"$2,417.0",42498
190,43090,Nicaragua,Type F5,Plasma,ThetaBase Services,4.0,8,strict,6.0,f,f,"$4,705.0",30276
191,24698,Faroe Islands,Type O3,Quantum,ThetaBase Services,1.0,2,flexible,2.0,f,f,"$1,520.0",1539
192,70399,Russian Federation,Type V5,Plasma,ThetaBase Services,1.0,2,moderate,1.0,f,f,"$1,910.0",32060
193,50222,Nicaragua,Type V5,Plasma,ThetaBase Services,2.0,7,strict,3.0,t,f,"$3,171.0",30435
194,34345,Niue,Type F5,Plasma,ThetaBase Services,5.0,12,strict,7.0,f,f,"$4,770.0",12017
195,35414,Costa Rica,Type V5,Quantum,ThetaBase Services,1.0,2,flexible,1.0,f,f,"$1,650.0",7777
196,55690,Rwanda,Type V5,Plasma,ThetaBase Services,2.0,4,strict,2.0,t,f,"$1,975.0",3840
197,2915,Faroe Islands,Type F5,Quantum,ThetaBase Services,2.0,4,strict,3.0,f,f,"$2,170.0",1539
198,46073,Indonesia,Type V5,Plasma,ThetaBase Services,2.0,4,strict,2.0,t,f,"$1,910.0",22091
199,7998,Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,1.0,2,strict,1.0,f,f,"$1,585.0",1294
200,41774,Bouvet Island (Bouvetoya),Type V5,Quantum,ThetaBase Services,1.0,2,moderate,2.0,t,f,"$1,845.0",38836
201,48919,Niue,Type F5,Plasma,ThetaBase Services,3.0,6,moderate,3.0,f,f,"$4,120.0",47371
202,72628,Estonia,Type F5,Quantum,ThetaBase Services,1.0,2,flexible,1.0,f,f,"$2,170.0",38747
203,52234,Switzerland,Type V5,Quantum,ThetaBase Services,1.0,2,strict,1.0,f,f,"$3,652.0",1895
204,8089,Rwanda,Type V7,Quantum,ThetaBase Services,1.0,2,strict,1.0,t,f,"$1,546.0",19078
205,18936,Nicaragua,Type V5,Plasma,ThetaBase Services,1.0,2,strict,1.0,f,f,"$2,495.0",44046
206,5833,Bouvet Island (Bouvetoya),Type V5,Plasma,"Banks, Wood and Phillips",5.0,7,strict,5.0,f,f,"$2,495.0",35176
207,49989,Malta,Type V5,Plasma,"Banks, Wood and Phillips",1.0,1,moderate,1.0,t,f,"$1,520.0",33514
208,69391,United Kingdom,Type O3,Quantum,ThetaBase Services,1.0,2,flexible,1.0,t,f,"$1,195.0",21642
209,36278,Nicaragua,Type Z6,Plasma,ThetaBase Services,1.0,2,moderate,1.0,f,f,"$2,040.0",27227
210,18723,Faroe Islands,Type V5,Quantum,ThetaBase Services,1.0,2,moderate,1.0,f,f,"$1,806.0",48614
211,23716,United Kingdom,Type V5,Quantum,ThetaBase Services,1.0,1,strict,1.0,f,f,"$1,650.0",32651
212,33319,Faroe Islands,Type F5,Quantum,ThetaBase Services,1.0,2,strict,2.0,f,f,"$1,585.0",37626
213,75157,Rwanda,Type V5,Plasma,ThetaBase Services,1.0,3,strict,1.0,f,f,"$2,820.0",8695
214,26662,Faroe Islands,Type V5,Quantum,ThetaBase Services,1.0,2,strict,,f,f,"$2,495.0",18178
215,36180,Barbados,Type V5,Plasma,ThetaBase Services,1.0,3,strict,,f,f,"$2,872.0",12034
216,11854,Malta,Type V5,Quantum,ThetaBase Services,1.0,1,flexible,1.0,f,f,"$2,040.0",17545
217,32170,Malta,Type V5,Quantum,ThetaBase Services,1.0,2,moderate,1.0,t,f,"$1,325.0",33514
218,70355,Indonesia,Type F5,Plasma,ThetaBase Services,3.0,6,strict,3.0,f,f,"$4,120.0",12799
219,51642,Malta,Type V5,Plasma,ThetaBase Services,2.0,8,strict,4.0,f,f,"$3,457.0",40752
220,13055,Nicaragua,Type Z6,Quantum,ThetaBase Services,1.0,2,moderate,1.0,f,f,"$2,105.0",5559
221,18734,Micronesia,Type V5,Plasma,ThetaBase Services,2.0,3,strict,3.0,f,f,"$3,600.0",21204
222,70165,Nicaragua,Type V5,Plasma,ThetaBase Services,1.0,2,strict,1.0,f,f,"$2,170.0",32587
223,26732,Bouvet Island (Bouvetoya),Type F5,Quantum,ThetaBase Services,1.0,2,strict,1.0,f,f,"$1,416.0",17726
224,71059,Guinea,Type V5,Plasma,ThetaBase Services,1.0,2,strict,1.0,f,f,"$2,690.0",13510
225,58041,Malta,Type Z6,Plasma,ThetaBase Services,2.0,4,moderate,2.0,f,f,"$3,145.0",17109
226,3327,Pakistan,Type F5,Quantum,ThetaBase Services,1.0,2,moderate,2.0,f,f,"$1,325.0",11716
227,55078,Bouvet Island (Bouvetoya),Type V5,Quantum,ThetaBase Services,1.0,2,strict,1.0,t,f,"$1,481.0",26704
228,15973,Russian Federation,Type V5,Plasma,ThetaBase Services,1.0,2,strict,1.0,f,f,"$2,560.0",49765
229,50983,Switzerland,Type F5,Quantum,ThetaBase Services,1.0,2,moderate,2.0,f,f,"$1,455.0",26319
